Job Title,Company Name,Salary,Location,Job Description,Skills,job_link
Travel Desk Manager,Highradius,Not disclosed,Hyderabad,"Bachelors Degree in any discipline  Good Communication skills, both written and spoken ...","vendor management, flight, data analysis, international travel, administration, tourism, excel, holiday packages",https://www.naukri.com/job-listings-travel-desk-manager-high-radius-hyderabad-0-to-5-years-290424001553
Business Advisory New Associate,Accenture,Not disclosed,Bengaluru,Please note that this role may require you to work in rotational shifts Qualification A...,"new business, business development, sales, marketing, safety, digital analytics, team management, company audit",https://www.naukri.com/job-listings-business-advisory-new-associate-accenture-solutions-pvt-ltd-bengaluru-0-to-1-years-280424902685
Order To Cash Operations New Associate,Accenture,Not disclosed,Bengaluru,Please note that this role may require you to work in rotational shifts Qualification B...,"bill processing, order management, accounting, order to cash, debit note, order processing, accounts receivable, journal entries",https://www.naukri.com/job-listings-order-to-cash-operations-new-associate-accenture-solutions-pvt-ltd-bengaluru-0-to-1-years-280424902622
Application Tech Support Practitioner,Accenture,Not disclosed,Bengaluru,Minimum 0-2 year(s) of experience is required. Educational Qualification : BEBTech in c...,"information technology, technology operations, desktop management, microsoft windows, troubleshooting, project management, networking, system administration",https://www.naukri.com/job-listings-application-tech-support-practitioner-accenture-solutions-pvt-ltd-bengaluru-0-to-2-years-280424902400
Order To Cash Operations New Associate,Accenture,Not disclosed,Bengaluru,Please note that this role may require you to work in rotational shifts Qualification A...,"debt collection, order to cash, reconciliation, cash applications, trade, operations management, internal control, back office",https://www.naukri.com/job-listings-order-to-cash-operations-new-associate-accenture-solutions-pvt-ltd-bengaluru-0-to-1-years-280424902333
Order To Cash Operations New Associate,Accenture,Not disclosed,Bengaluru,Please note that this role may require you to work in rotational shifts Qualification B...,"ledger, accounts receivable, order to cash, reconciliation, cash applications, operations management, journal entries, back office",https://www.naukri.com/job-listings-order-to-cash-operations-new-associate-accenture-solutions-pvt-ltd-bengaluru-0-to-1-years-280424901591
Procure To Pay Operations New Associate,Accenture,Not disclosed,Bengaluru,Skill required: Procure to Pay - Accounts Payable ProcessingDesignation: Procure to Pay...,"accounts payable, pay, invoice processing, procure to pay, procurement, strategic sourcing, procurement operations, purchase",https://www.naukri.com/job-listings-procure-to-pay-operations-new-associate-accenture-solutions-pvt-ltd-bengaluru-0-to-1-years-280424901511
Order To Cash Operations New Associate,Accenture,Not disclosed,Bengaluru,Please note that this role may require you to work in rotational shifts Qualification B...,"accounts reconciliation, ledger, accounts receivable, order to cash, account management, operations management, back office, reconciliation",https://www.naukri.com/job-listings-order-to-cash-operations-new-associate-accenture-solutions-pvt-ltd-bengaluru-0-to-1-years-280424901415
Trust & Safety New Associate,Accenture,Not disclosed,Bengaluru,Please note that this role may require you to work in rotational shiftsEnables a superi...,"bcm, internal audit, operations audit, records management, infosec, risk management, it security, project management",https://www.naukri.com/job-listings-trust-safety-new-associate-accenture-solutions-pvt-ltd-bengaluru-0-to-1-years-280424901391
Customer Care Executive Across Bangalore,Muthoot Finance,2-3 Lacs PA,"Bangarapet, Tumkur(Vidyanagar +3), Bengaluru(Ramachandrapura +103)",Desired Candidate Profile Any Graduate Female Fresher Recently passed 2020 to 2024 from...,"Customer Relationship, Customer Service, Customer Support, CSA, Cce, Customer Care, Relationship",https://www.naukri.com/job-listings-customer-care-executive-across-bangalore-muthoot-finance-bangarapet-tumkur-bengaluru-0-to-1-years-280424001966
